GlobalEventID,actor_key,actor_name,month,article_actor_weight,conflict_relevance,event_context,event_modality,matched_actor_role,event_time_relation,any_matched_actor_mentioned,any_physical_violence_mentioned,any_fatalities_mentioned,any_injuries_mentioned,any_weapon_mentioned,physical_violence_occurred,fatalities_present,injuries_present,weapon_use_class,multiple_events_mentioned,main_story_confidence,date
896851745,209,Hamas,2020-01,1.0,background_or_context,POL,realized,perpetrator,current_or_recent,yes,yes,yes,no,no,no,no,no,none_used,yes,high,2020-01-05
896863608,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,no,no,no,no,no,no,no,none_used,yes,high,2020-01-05
896918402,209,Hamas,2020-01,1.0,background_or_context,not_applicable,not_applicable,not_applicable,unclear,no,yes,yes,no,yes,not_applicable,not_applicable,not_applicable,not_applicable,yes,low,2020-01-05
896871172,303,Taleban,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,no,no,unclear,no,no,no,none_used,yes,medium,2020-01-05
896879993,303,Taleban,2020-01,1.0,direct,POL,realized,perpetrator,current_or_recent,yes,yes,no,no,no,no,no,no,none_used,yes,high,2020-01-05
896896401,303,Taleban,2020-01,1.0,direct,POL,realized,not_applicable,current_or_recent,no,yes,yes,yes,yes,no,no,no,none_used,yes,high,2020-01-05
896873998,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,yes,no,no,no,no,no,none_used,yes,medium,2020-01-05
896996312,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,current_or_recent,yes,no,unclear,no,no,no,no,no,none_used,yes,medium,2020-01-06
897057992,209,Hamas,2020-01,1.0,irrelevant,not_applicable,not_applicable,not_applicable,unclear,no,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,unclear,unclear,2020-01-06
897064365,209,Hamas,2020-01,1.0,direct,POL,realized,perpetrator,current_or_recent,yes,yes,no,no,no,no,no,no,none_used,no,high,2020-01-06
897080009,209,Hamas,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,unclear,yes,yes,yes,unclear,yes,low,2020-01-06
896939220,303,Taleban,2020-01,1.0,direct,POL,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,no,no,no,none_used,yes,high,2020-01-06
896983742,303,Taleban,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,yes,no,no,no,no,no,none_used,yes,high,2020-01-06
897025779,303,Taleban,2020-01,1.0,direct,POL,realized,mentioned_only,current_or_recent,yes,no,no,no,no,no,no,no,none_used,yes,high,2020-01-06
897082922,303,Taleban,2020-01,1.0,irrelevant,not_applicable,not_applicable,not_applicable,unclear,no,unclear,no,unclear,no,not_applicable,not_applicable,not_applicable,not_applicable,unclear,unclear,2020-01-06
897098156,303,Taleban,2020-01,1.0,direct,POL,realized,mentioned_only,current_or_recent,yes,yes,yes,unclear,yes,no,no,no,none_used,yes,high,2020-01-06
897112057,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,heavy,no,high,2020-01-06
897123946,303,Taleban,2020-01,1.0,background_or_context,CIV,realized,mentioned_only,historical_background,yes,yes,yes,no,no,no,no,no,none_used,yes,high,2020-01-06
897146199,303,Taleban,2020-01,1.0,background_or_context,POL,realized,mentioned_only,current_or_recent,yes,yes,no,no,unclear,no,no,no,none_used,yes,high,2020-01-06
897130562,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,CRM,realized,unclear,current_or_recent,yes,yes,no,no,no,yes,no,no,none_used,yes,high,2020-01-06
897141107,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,CBT,realized,mentioned_only,current_or_recent,yes,yes,no,no,no,no,no,no,none_used,yes,medium,2020-01-06
897225274,209,Hamas,2020-01,1.0,irrelevant,not_applicable,not_applicable,not_applicable,unclear,no,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,unclear,unclear,2020-01-07
897266718,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,no,no,yes,no,no,no,none_used,yes,medium,2020-01-07
897360378,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,current_or_recent,yes,yes,yes,no,no,no,no,no,none_used,yes,high,2020-01-07
897176673,303,Taleban,2020-01,1.0,background_or_context,POL,realized,mentioned_only,current_or_recent,yes,yes,yes,no,unclear,no,no,no,none_used,yes,medium,2020-01-07
897292668,303,Taleban,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,yes,no,no,no,no,no,none_used,yes,high,2020-01-07
897317069,303,Taleban,2020-01,1.0,background_or_context,POL,realized,perpetrator,historical_background,yes,yes,no,yes,yes,no,no,no,none_used,no,high,2020-01-07
897361588,303,Taleban,2020-01,1.0,direct,POL,threatened,perpetrator,future_or_planned,yes,yes,no,no,yes,no,no,no,unclear,yes,medium,2020-01-07
897160384,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,irrelevant,not_applicable,not_applicable,not_applicable,unclear,no,no,no,unclear,no,not_applicable,not_applicable,not_applicable,not_applicable,unclear,unclear,2020-01-07
897208156,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,POL,realized,mentioned_only,current_or_recent,yes,yes,yes,no,yes,no,no,no,none_used,yes,high,2020-01-07
897429139,209,Hamas,2020-01,1.0,direct,CBT,realized,target,current_or_recent,yes,yes,yes,no,yes,yes,yes,no,salw,yes,medium,2020-01-08
897453882,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,no,no,yes,no,no,no,none_used,yes,high,2020-01-08
897485184,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,yes,no,no,no,no,no,none_used,yes,high,2020-01-08
897530957,209,Hamas,2020-01,1.0,direct,POL,realized,perpetrator,current_or_recent,yes,yes,no,no,yes,no,no,no,none_used,yes,medium,2020-01-08
897542142,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,current_or_recent,yes,no,no,no,no,no,no,no,none_used,no,medium,2020-01-08
897544042,209,Hamas,2020-01,1.0,background_or_context,CBT,realized,perpetrator,current_or_recent,yes,yes,no,no,yes,yes,no,no,mixed,yes,low,2020-01-08
897578618,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,no,unclear,yes,no,no,no,none_used,yes,medium,2020-01-08
897468123,303,Taleban,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,no,no,no,no,no,no,none_used,yes,medium,2020-01-08
897547733,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,heavy,yes,high,2020-01-08
897580460,303,Taleban,2020-01,1.0,direct,CIV,realized,perpetrator,current_or_recent,yes,yes,yes,unclear,no,yes,yes,no,none_used,yes,medium,2020-01-08
897624186,303,Taleban,2020-01,1.0,direct,CBT,realized,mentioned_only,current_or_recent,yes,yes,yes,no,no,no,no,no,none_used,yes,medium,2020-01-08
897636987,303,Taleban,2020-01,1.0,not_applicable,not_applicable,not_applicable,not_applicable,unclear,no,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,unclear,unclear,2020-01-08
897654518,303,Taleban,2020-01,1.0,direct,CBT,realized,mentioned_only,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,none_used,yes,high,2020-01-08
897658642,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,historical_background,yes,yes,yes,unclear,yes,yes,yes,unclear,mixed,yes,medium,2020-01-08
897689624,303,Taleban,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,no,no,no,no,no,no,no,none_used,no,medium,2020-01-08
897548904,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,POL,realized,perpetrator,current_or_recent,yes,yes,yes,no,yes,no,no,no,none_used,yes,low,2020-01-08
897585565,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,CIV,realized,mentioned_only,current_or_recent,yes,yes,yes,no,yes,yes,yes,no,salw,yes,high,2020-01-08
899091686,group:farc_bloc,FARC / FARC dissidents,2020-01,1.0,direct,POL,realized,perpetrator,current_or_recent,yes,yes,yes,no,yes,yes,yes,no,salw,yes,high,2020-01-08
897900053,209,Hamas,2020-01,1.0,direct,POL,realized,mentioned_only,current_or_recent,yes,yes,no,no,yes,no,no,no,none_used,yes,high,2020-01-09
897930736,209,Hamas,2020-01,1.0,background_or_context,POL,realized,mentioned_only,historical_background,yes,yes,no,no,no,no,no,no,none_used,yes,medium,2020-01-09
897723300,303,Taleban,2020-01,1.0,direct,POL,realized,perpetrator,current_or_recent,yes,yes,yes,unclear,yes,no,no,no,none_used,yes,medium,2020-01-09
897798383,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,no,yes,yes,yes,no,heavy,no,high,2020-01-09
897800872,303,Taleban,2020-01,1.0,direct,POL,realized,both,historical_background,yes,yes,yes,yes,yes,yes,yes,yes,unclear,yes,medium,2020-01-09
897807081,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,heavy,no,high,2020-01-09
897808142,303,Taleban,2020-01,1.0,background_or_context,CIV,realized,perpetrator,historical_background,yes,yes,no,unclear,yes,no,no,unclear,none_used,yes,high,2020-01-09
897823251,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,heavy,unclear,medium,2020-01-09
897832116,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,yes,yes,yes,yes,yes,salw,yes,medium,2020-01-09
897859604,303,Taleban,2020-01,1.0,not_applicable,not_applicable,not_applicable,not_applicable,unclear,no,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,unclear,unclear,2020-01-09
897862211,303,Taleban,2020-01,1.0,irrelevant,not_applicable,not_applicable,not_applicable,unclear,no,no,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,unclear,unclear,2020-01-09
897868733,303,Taleban,2020-01,1.0,irrelevant,not_applicable,not_applicable,not_applicable,unclear,no,yes,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,unclear,unclear,2020-01-09
897868735,303,Taleban,2020-01,1.0,irrelevant,not_applicable,not_applicable,not_applicable,unclear,no,yes,no,no,no,not_applicable,not_applicable,not_applicable,not_applicable,no,unclear,2020-01-09
897870303,303,Taleban,2020-01,1.0,direct,CBT,realized,perpetrator,current_or_recent,yes,yes,yes,no,yes,yes,yes,no,heavy,yes,high,2020-01-09
