actor_key,actor_name,period_start,period_end,period_index,n_articles,n_unique_articles,n_direct_conflict_relevance,n_physical_violence,n_fatalities_present,n_context_three_violent,n_context_three_pol,n_context_three_other,y_ucdp_actor_fatalities,n_ucdp_actor_events,log1p_y_ucdp_actor_fatalities,log1p_n_articles,share_direct_conflict_relevance_raw,share_physical_violence_raw,share_fatalities_present_raw,share_context_three_violent_raw,share_context_three_pol_raw,share_context_three_other_raw,log1p_y_ucdp_actor_fatalities_next,y_ucdp_actor_fatalities_next,log1p_y_ucdp_actor_fatalities_lag1,log1p_y_ucdp_actor_fatalities_lag2,outcome_period_start,outcome_period_end,time_years,taliban_outcome_transition_aug2021,taliban_outcome_post_takeover,hamas_outcome_post_oct2023,month,share_direct_conflict_relevance_calibrated,share_physical_violence_calibrated,share_fatalities_present_calibrated
209,Hamas,2020-01-27,2020-02-24,4,257.0,257.0,215.0,160.0,26.0,159.0,77.0,21.0,0.0,0.0,0.0,5.552959584921617,0.8365758754863813,0.622568093385214,0.10116731517509728,0.6186770428015564,0.29961089494163423,0.08171206225680934,0.0,0.0,1.3862943611198906,0.6931471805599453,2020-02-24,2020-03-23,0.3066392881587953,0.0,0.0,0.0,2020-01-27,0.941019402552459,0.6420252296774535,0.0
209,Hamas,2020-02-24,2020-03-23,5,54.0,54.0,29.0,17.0,9.0,18.0,28.0,8.0,0.0,0.0,0.0,4.007333185232471,0.5370370370370371,0.3148148148148148,0.16666666666666666,0.3333333333333333,0.5185185185185185,0.14814814814814814,0.0,0.0,0.0,1.3862943611198906,2020-03-23,2020-04-20,0.38329911019849416,0.0,0.0,0.0,2020-02-24,0.48123066633224654,0.20095191997418524,0.04097017371353654
209,Hamas,2020-03-23,2020-04-20,6,51.0,51.0,29.0,13.0,3.0,16.0,30.0,5.0,0.0,0.0,0.0,3.9512437185814275,0.5686274509803921,0.2549019607843137,0.058823529411764705,0.3137254901960784,0.5882352941176471,0.09803921568627451,0.0,0.0,0.0,0.0,2020-04-20,2020-05-18,0.459958932238193,0.0,0.0,0.0,2020-03-23,0.5297215951843491,0.11508456238255224,0.0
209,Hamas,2020-04-20,2020-05-18,7,41.0,41.0,27.0,12.0,2.0,14.0,21.0,6.0,0.0,0.0,0.0,3.7376696182833684,0.6585365853658537,0.2926829268292683,0.04878048780487805,0.34146341463414637,0.5121951219512195,0.14634146341463414,0.0,0.0,0.0,0.0,2020-05-18,2020-06-15,0.5366187542778919,0.0,0.0,0.0,2020-04-20,0.6677311016902495,0.16923240384388355,0.0
209,Hamas,2020-05-18,2020-06-15,8,29.0,29.0,15.0,5.0,1.0,9.0,17.0,3.0,0.0,0.0,0.0,3.4011973816621555,0.5172413793103449,0.1724137931034483,0.034482758620689655,0.3103448275862069,0.5862068965517241,0.10344827586206896,0.0,0.0,0.0,0.0,2020-06-15,2020-07-13,0.6132785763175906,0.0,0.0,0.0,2020-05-18,0.45084455514906213,0.0,0.0
209,Hamas,2020-06-15,2020-07-13,9,150.0,150.0,121.0,82.0,6.0,82.0,55.0,13.0,0.0,0.0,0.0,5.017279836814924,0.8066666666666666,0.5466666666666666,0.04,0.5466666666666666,0.36666666666666664,0.08666666666666667,0.0,0.0,0.0,0.0,2020-07-13,2020-08-10,0.6899383983572895,0.0,0.0,0.0,2020-06-15,0.8951091045899172,0.5332429816069699,0.0
209,Hamas,2020-07-13,2020-08-10,10,80.0,80.0,67.0,51.0,5.0,51.0,20.0,9.0,0.0,0.0,0.0,4.394449154672439,0.8375,0.6375,0.0625,0.6375,0.25,0.1125,0.0,0.0,0.0,0.0,2020-08-10,2020-09-07,0.7665982203969883,0.0,0.0,0.0,2020-07-13,0.9424379232505644,0.6634257018393029,0.0
209,Hamas,2020-08-10,2020-09-07,11,382.0,382.0,331.0,282.0,16.0,278.0,82.0,22.0,0.0,0.0,0.0,5.948034989180646,0.8664921465968587,0.7382198952879581,0.041884816753926704,0.7277486910994765,0.21465968586387435,0.05759162303664921,0.0,0.0,0.0,0.0,2020-09-07,2020-10-05,0.8432580424366872,0.0,0.0,0.0,2020-08-10,0.9869405410516116,0.8077778847762072,0.0
209,Hamas,2020-09-07,2020-10-05,12,104.0,104.0,76.0,50.0,6.0,54.0,45.0,5.0,0.0,0.0,0.0,4.653960350157523,0.7307692307692307,0.4807692307692308,0.057692307692307696,0.5192307692307693,0.4326923076923077,0.04807692307692308,0.0,0.0,0.0,0.0,2020-10-05,2020-11-02,0.919917864476386,0.0,0.0,0.0,2020-09-07,0.7786073971175551,0.4387984957926875,0.0
209,Hamas,2020-10-05,2020-11-02,13,49.0,49.0,36.0,26.0,4.0,26.0,16.0,7.0,0.0,0.0,0.0,3.912023005428146,0.7346938775510204,0.5306122448979592,0.08163265306122448,0.5306122448979592,0.32653061224489793,0.14285714285714285,0.0,0.0,0.0,0.0,2020-11-02,2020-11-30,0.9965776865160849,0.0,0.0,0.0,2020-10-05,0.7846316856313632,0.5102337159452358,0.0
