actor_key,actor_name,period_start,period_end,period_index,n_articles,n_unique_articles,n_direct_conflict_relevance,n_physical_violence,n_fatalities_present,n_context_three_violent,n_context_three_pol,n_context_three_other,y_ucdp_actor_fatalities,n_ucdp_actor_events,log1p_y_ucdp_actor_fatalities,log1p_n_articles,share_direct_conflict_relevance_raw,share_physical_violence_raw,share_fatalities_present_raw,share_context_three_violent_raw,share_context_three_pol_raw,share_context_three_other_raw,log1p_y_ucdp_actor_fatalities_next,y_ucdp_actor_fatalities_next,log1p_y_ucdp_actor_fatalities_lag1,log1p_y_ucdp_actor_fatalities_lag2,outcome_period_start,outcome_period_end,time_years,taliban_outcome_transition_aug2021,taliban_outcome_post_takeover,hamas_outcome_post_oct2023,month,share_direct_conflict_relevance_calibrated,share_physical_violence_calibrated,share_fatalities_present_calibrated
209,Hamas,2020-01-01,2020-02-01,3,182.0,182.0,131.0,106.0,18.0,100.0,64.0,18.0,3.0,1.0,1.3862943611198906,5.209486152841421,0.7197802197802198,0.5824175824175825,0.0989010989010989,0.5494505494505495,0.3516483516483517,0.0989010989010989,0.0,0.0,0.6931471805599453,0.6931471805599453,2020-02-01,2020-03-01,0.25,0.0,0.0,0.0,2020-01-01,0.7617393892788926,0.5844813463400105,0.0
209,Hamas,2020-02-01,2020-03-01,4,237.0,237.0,190.0,141.0,30.0,144.0,72.0,21.0,0.0,0.0,0.0,5.472270673671475,0.8016877637130801,0.5949367088607594,0.12658227848101267,0.6075949367088608,0.3037974683544304,0.08860759493670886,0.0,0.0,1.3862943611198906,0.6931471805599453,2020-03-01,2020-04-01,0.3333333333333333,0.0,0.0,0.0,2020-02-01,0.8874665447514548,0.6024238116828213,0.0
209,Hamas,2020-03-01,2020-04-01,5,46.0,46.0,22.0,10.0,2.0,10.0,30.0,6.0,0.0,0.0,0.0,3.8501476017100584,0.4782608695652174,0.21739130434782608,0.043478260869565216,0.21739130434782608,0.6521739130434783,0.13043478260869565,0.0,0.0,0.0,1.3862943611198906,2020-04-01,2020-05-01,0.4166666666666667,0.0,0.0,0.0,2020-03-01,0.3910099126508981,0.061324129803442914,0.0
209,Hamas,2020-04-01,2020-05-01,6,44.0,44.0,26.0,9.0,5.0,12.0,26.0,6.0,0.0,0.0,0.0,3.8066624897703196,0.5909090909090909,0.20454545454545456,0.11363636363636363,0.2727272727272727,0.5909090909090909,0.13636363636363635,0.0,0.0,0.0,0.0,2020-05-01,2020-06-01,0.5,0.0,0.0,0.0,2020-04-01,0.5639236609891238,0.042913403150576464,0.0
209,Hamas,2020-05-01,2020-06-01,7,44.0,44.0,28.0,12.0,1.0,16.0,25.0,3.0,0.0,0.0,0.0,3.8066624897703196,0.6363636363636364,0.2727272727272727,0.022727272727272728,0.36363636363636365,0.5681818181818182,0.06818181818181818,0.0,0.0,0.0,0.0,2020-06-01,2020-07-01,0.5833333333333334,0.0,0.0,0.0,2020-05-01,0.6336958752308639,0.14063187538502156,0.0
209,Hamas,2020-06-01,2020-07-01,8,88.0,88.0,67.0,41.0,3.0,40.0,39.0,9.0,0.0,0.0,0.0,4.48863636973214,0.7613636363636364,0.4659090909090909,0.03409090909090909,0.45454545454545453,0.4431818181818182,0.10227272727272728,0.0,0.0,0.0,0.0,2020-07-01,2020-08-01,0.6666666666666666,0.0,0.0,0.0,2020-06-01,0.8255694643956495,0.41750088004928276,0.0
209,Hamas,2020-07-01,2020-08-01,9,101.0,101.0,77.0,48.0,7.0,52.0,37.0,12.0,0.0,0.0,0.0,4.624972813284271,0.7623762376237624,0.4752475247524752,0.06930693069306931,0.5148514851485149,0.36633663366336633,0.1188118811881188,0.0,0.0,0.0,0.0,2020-08-01,2020-09-01,0.75,0.0,0.0,0.0,2020-07-01,0.8271237959010348,0.4308847632101061,0.0
209,Hamas,2020-08-01,2020-09-01,10,416.0,416.0,366.0,324.0,17.0,320.0,76.0,20.0,0.0,0.0,0.0,6.0330862217988015,0.8798076923076923,0.7788461538461539,0.040865384615384616,0.7692307692307693,0.18269230769230768,0.04807692307692308,0.0,0.0,0.0,0.0,2020-09-01,2020-10-01,0.8333333333333334,0.0,0.0,0.0,2020-08-01,1.0,0.8660036115868643,0.0
209,Hamas,2020-09-01,2020-10-01,11,116.0,116.0,86.0,51.0,5.0,53.0,54.0,9.0,0.0,0.0,0.0,4.762173934797756,0.7413793103448276,0.4396551724137931,0.04310344827586207,0.45689655172413796,0.46551724137931033,0.07758620689655173,0.0,0.0,0.0,0.0,2020-10-01,2020-11-01,0.9166666666666666,0.0,0.0,0.0,2020-09-01,0.7948937495135051,0.37987365223486996,0.0
209,Hamas,2020-10-01,2020-11-01,12,54.0,54.0,39.0,28.0,5.0,29.0,17.0,8.0,0.0,0.0,0.0,4.007333185232471,0.7222222222222222,0.5185185185185185,0.09259259259259259,0.5370370370370371,0.3148148148148148,0.14814814814814814,0.0,0.0,0.0,0.0,2020-11-01,2020-12-01,1.0,0.0,0.0,0.0,2020-10-01,0.7654878354652621,0.4929009357857373,0.0
