Group_UCDP_ID,Group_UCDP_Name_short,Group_UCDP_Name_long,Group_UCDP_Earliest_year,Group_UCDP_Latest_year,Group_Information_available,Group_Smallarms,Group_Lightweapons,Group_MCW,Group_Explosives,Group_Other,Group_SA_Machineguns,Group_SA_Pistols_revolvers,Group_SA_Rifles_Shotguns,Group_LW_Heavymachguns_Cannons,Group_LW_Launchers,Group_LW_Mortars,Group_MCW_Aircraft,Group_MCW_Airdefence,Group_MCW_Armouredvehicles,Group_MCW_Artillery,Group_MCW_Ships,Group_MCW_Tanks,Group_Expl_Devices_materials,Group_Expl_Landmines,Group_SA_lowerbound,Group_LW_lowerbound,Group_MCW_lowerbound,Group_Expl_lowerbound,Group_Other_lowerbound,Group_SA_lowerbound_metric,Group_LW_lowerbound_metric,Group_MCW_lowerbound_metric,Group_Expl_lowerbound_metric,Group_Other_lowerbound_metric,Group_Recordedtransfers,Group_Recordedtransfers_SA,Group_Recordedtransfers_LW,Group_Recordedtransfers_MCW,Group_Recordedtransfers_Expl,Group_Evidenceentries,Group_Evidenceentries_qnty,Group_Potential_armament_origins
164.0,KDPI,Kurdish Democratic Party of Iran,1990.0,2018.0,No info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
169.0,CPP,"Communist Party of the Philippines, New People’s Army (NPA)",1989.0,2018.0,Some info available,4.0,2.0,0.0,4.0,0.0,2.0,3.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,3.0,0.0,7438.79,15.0,0.0,806.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,160.0,
170.0,"Military faction (forces of Honasan, Abenina & Zumel)",,1989.0,1990.0,No info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
180.0,KNU,Karen National Union,1989.0,2011.0,Some info available,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,
181.0,God's Army,,2000.0,2000.0,Some info available,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,32.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,8.0,
185.0,ABSDF,All Burma Students’ Democratic Front,1990.0,1994.0,Some info available,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,
187.0,RSO,Rohingya Solidarity Organization,1991.0,1994.0,No info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
190.0,NMSP,New Mon State Party,1990.0,1990.0,Some info available,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,
191.0,BMA,Beik Mon Army,1996.0,1996.0,Some info available,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,
193.0,PWG,People’s War Group,1991.0,2004.0,Some info available,3.0,1.0,0.0,2.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,0.0,133.0,1.0,0.0,13.0,0.0,2.0,2.0,0.0,0.0,0.0,23.0,16.0,LTTE
