Assigned_Hiwi,Research_done,Selfcheck_done,Crosscheck_done,Government_side,Do_NSA_specific_research,NSA_UCDP_Name_short,NSA_Name_long,NSA_UCDP_ID,Earliest_year_of_NSA,Latest_year_of_NSA,UCDP_Conflict_ID,UCDP_Dyad_ID,Government_UCDP_ID,Total_battle_deaths_of_country,Total_battle_deaths_of_NSA,Total_bd_of_country_over_median,Order_of_groups_to_do,Comment_NSA_Data_Collection,NSA_Entries,NSA_Entries_Pistols,NSA_Entries_Rifles,NSA_Entries_Machine_guns,NSA_Entries_Heavy_machine_guns,NSA_Entries_Cannon,NSA_Entries_Mortars,NSA_Entries_Missiles,NSA_Entries_Explosives,NSA_Entries_Landmines,NSA_Entries_Tanks,NSA_Entries_Aircraft,NSA_Entries_Artillery,NSA_Entries_Armoured_vehicles,NSA_Entries_Ships
Alex,yes,no,yes,Government of Ukraine,yes,DPR,Donetsk People's Republic,6711.0,2015.0,2018.0,13306.0,15100.0,61,6588.0,897.0,yes,1.0,,196.0,1.0,7.0,0.0,0.0,8.0,16.0,20.0,1.0,2.0,19.0,5.0,59.0,43.0,0.0
Alex,yes,no,yes,Government of Ukraine,yes,DPR,Donetsk People's Republic,5840.0,2014.0,2014.0,13246.0,14124.0,61,6588.0,2021.0,yes,2.0,,196.0,1.0,7.0,0.0,0.0,8.0,16.0,20.0,1.0,2.0,19.0,5.0,59.0,43.0,0.0
Alex,yes,no,yes,Government of Ukraine,yes,LPR,Lugansk People's Republic,6712.0,2015.0,2018.0,13306.0,15101.0,61,6588.0,245.0,yes,3.0,,189.0,3.0,5.0,2.0,1.0,6.0,10.0,27.0,9.0,8.0,25.0,2.0,27.0,40.0,0.0
Alex,yes,no,yes,Government of Ukraine,yes,LPR,Lugansk People's Republic,5839.0,2014.0,2014.0,13247.0,14184.0,61,6588.0,712.0,yes,4.0,,189.0,3.0,5.0,2.0,1.0,6.0,10.0,27.0,9.0,8.0,25.0,2.0,27.0,40.0,0.0
Alex,yes,no,yes,Government of Ukraine,yes,Maidan,Euromaidan,5817.0,2014.0,2014.0,13219.0,14085.0,61,6588.0,88.0,yes,5.0,,39.0,5.0,6.0,4.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0
Alex,yes,no,yes,Government of Ukraine,yes,United Armed Forces of Novorossiya,United Armed Forces of Novorossiya,5914.0,2014.0,2015.0,13306.0,14210.0,61,6588.0,2625.0,yes,6.0,,440.0,4.0,48.0,21.0,9.0,6.0,17.0,77.0,6.0,26.0,34.0,12.0,65.0,86.0,0.0
Alex,yes,no,yes,Government of Uzbekistan,yes,IMU,Islamic Movement of Uzbekistan,359.0,1999.0,2014.0,415.0,871.0,133,575.0,791.0,no,7.0,,73.0,6.0,13.0,5.0,0.0,0.0,3.0,7.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0
Alex,yes,no,yes,Government of Uzbekistan,yes,JIG,Jihad Islamic Group,360.0,2004.0,2004.0,415.0,872.0,133,575.0,37.0,no,8.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex,yes,no,yes,Government of Bosnia-Herzegovina,yes,Autonomous Province of Western Bosnia,Autonomous Province of Western Bosnia,349.0,1993.0,1995.0,397.0,846.0,50,13454.0,971.0,yes,9.0,,25.0,0.0,5.0,2.0,1.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
Alex,no,no,no,Government of Bosnia-Herzegovina,no,Croatian irregulars,Croatian irregulars,370.0,1991.0,1994.0,398.0,847.0,50,13454.0,75.0,yes,10.0,,12.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Alex,yes,no,yes,Government of Bosnia-Herzegovina,yes,Croatian Republic of Bosnia-Herzegovina,Croatian Republic of Bosnia-Herzegovina,350.0,1993.0,1994.0,398.0,848.0,50,13454.0,2604.0,yes,11.0,,6.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Alex,yes,no,yes,Government of Bosnia-Herzegovina,yes,Serbian irregulars,Serbian irregulars,371.0,1992.0,1995.0,389.0,834.0,50,13454.0,125.0,yes,12.0,,37.0,0.0,1.0,2.0,0.0,2.0,6.0,8.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0
Alex,yes,no,yes,Government of Bosnia-Herzegovina,yes,Serbian Republic of Bosnia-Herzegovina,Serbian Republic of Bosnia-Herzegovina,339.0,1992.0,1995.0,389.0,835.0,50,13454.0,9729.0,yes,13.0,,10.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Alex,yes,yes,no,Government of Serbia (Yugoslavia),yes,Croatian irregulars,,370.0,1991.0,1994.0,385.0,825.0,49,5773.0,75.0,yes,14.0,,12.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Alex,no,no,no,Government of Serbia (Yugoslavia),yes,Republic of Croatia,,337.0,1991.0,1992.0,385.0,826.0,49,5773.0,3045.0,yes,15.0,indistinguinshable from modern state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex,no,no,no,Government of Serbia (Yugoslavia),yes,Republic of Slovenia,,336.0,1991.0,1991.0,384.0,824.0,49,5773.0,64.0,yes,16.0,indistinguinshable from modern state,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex,yes,yes,no,Government of Serbia (Yugoslavia),yes,UCK,Ushtria çlirimtare ë kosovës / Kosovo Liberation Army,357.0,1998.0,1999.0,412.0,868.0,49,5773.0,2639.0,yes,17.0,,169.0,7.0,37.0,26.0,6.0,2.0,17.0,29.0,23.0,12.0,0.0,0.0,2.0,0.0,0.0
Alex,yes,yes,no,Government of Tajikistan,yes,Forces of Khudoberdiyev,,346.0,1997.0,1998.0,395.0,843.0,131,9123.0,604.0,yes,18.0,,20.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,2.0,4.0,0.0
Alex,yes,yes,no,Government of Tajikistan,yes,Forces of Mullo Abdullo,,1216.0,2000.0,2010.0,395.0,12300.0,131,9123.0,78.0,yes,19.0,,17.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
Alex,no,no,no,Government of Tajikistan,no,IMU,Islamic Movement of Uzbekistan,359.0,1999.0,2014.0,395.0,908.0,131,9123.0,791.0,yes,20.0,,73.0,6.0,13.0,5.0,0.0,0.0,3.0,7.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0
Alex,yes,yes,no,Government of Tajikistan,yes,PFT,Popular Front of Tajikistan,1186.0,1992.0,1992.0,395.0,12298.0,131,9123.0,419.0,yes,21.0,,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex,yes,yes,no,Government of Tajikistan,yes,UTO,United Tajik Opposition,345.0,1992.0,1998.0,395.0,842.0,131,9123.0,7928.0,yes,22.0,,8.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex,yes,yes,no,Government of Azerbaijan,yes,Military faction (forces of Suret Husseinov),,347.0,1993.0,1993.0,396.0,844.0,64,5425.0,63.0,yes,23.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex,yes,yes,no,Government of Azerbaijan,yes,OPON Forces,Special Police Brigade / Otryad Policija Osobogo Naznacenija,348.0,1995.0,1995.0,396.0,845.0,64,5425.0,44.0,yes,24.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alex,yes,yes,no,Government of Azerbaijan,yes,Republic of Artsakh,Republic of Nagorno-Karabakh / Artsakhi Hanrapetut’yun,338.0,1991.0,2017.0,388.0,833.0,64,5425.0,5318.0,yes,25.0,,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
Alex,no,no,no,Government of Croatia,no,Serbian irregulars,,371.0,1992.0,1995.0,390.0,836.0,48,1329.0,125.0,no,26.0,,37.0,0.0,1.0,2.0,0.0,2.0,6.0,8.0,1.0,0.0,5.0,0.0,4.0,0.0,0.0
Alex,yes,yes,no,Government of Croatia,yes,Serbian Republic of Krajina,Republika Srpska Krajina,340.0,1992.0,1995.0,390.0,837.0,48,1329.0,1304.0,no,27.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
Alex,yes,yes,no,Government of Moldova,yes,PMR,Pridnistrovs'ka Moldavs'ka Respublika / Pridnestrovian Moldavian Republic,344.0,1992.0,1992.0,394.0,841.0,55,585.0,585.0,no,28.0,,49.0,0.0,2.0,0.0,0.0,2.0,3.0,6.0,0.0,13.0,4.0,10.0,5.0,3.0,0.0
Alex,yes,yes,no,Government of Russia (Soviet Union),yes,APF,Azerbaijani Popular Front,331.0,1990.0,1990.0,377.0,808.0,57,21958.0,143.0,yes,29.0,,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
Alex,yes,yes,no,Government of Russia (Soviet Union),yes,Chechen Republic of Ichkeria,,352.0,1994.0,2007.0,401.0,852.0,57,21958.0,18164.0,yes,30.0,Location as main criteria for most entries,190.0,12.0,24.0,17.0,0.0,1.0,6.0,53.0,46.0,4.0,4.0,7.0,5.0,3.0,0.0
Alex,yes,yes,no,Government of Russia (Soviet Union),yes,Forces of the Caucasus Emirate,Islamic Emirate of the Caucasus,367.0,2007.0,2015.0,432.0,899.0,57,21958.0,2947.0,yes,31.0,,27.0,0.0,4.0,6.0,0.0,0.0,0.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
Alex,no,no,no,Government of Russia (Soviet Union),no,IS,,234.0,2004.0,2018.0,13588.0,14619.0,57,21958.0,127471.0,yes,32.0,,121.0,0.0,8.0,2.0,1.0,0.0,3.0,38.0,7.0,2.0,6.0,8.0,24.0,7.0,0.0
Alex,yes,yes,no,Government of Russia (Soviet Union),yes,Parliamentary Forces,,351.0,1993.0,1993.0,399.0,849.0,57,21958.0,145.0,yes,33.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
