term_id,term,term_lower,term_source_dataset,term_source_column,source_actor_id,source_actor_name,source_org,is_single_token,term_len,is_short_single_token,is_high_noise_term,use_for_matching,term_source_datasets
2571aca4f1572bdb96b041490f829f7f1bba5927,KDPI,kdpi,RAD,Group_UCDP_Name_short,164.0,KDPI,,True,4,True,False,True,RAD;UCDP_ACTOR
1db45c338fe472c2e84235cdcb8d1d20927be176,Kurdish Democratic Party of Iran,kurdish democratic party of iran,RAD,Group_UCDP_Name_long,164.0,KDPI,,False,32,False,False,True,RAD;UCDP_ACTOR
a3e1a58503234c0de8b5a84d0e6dae26b877d3e7,CPP,cpp,RAD,Group_UCDP_Name_short,169.0,CPP,,True,3,True,False,True,RAD;UCDP_ACTOR
58f15397a220a0f90b23dc7f96008a4790fedddf,Communist Party of the Philippines,communist party of the philippines,RAD,Group_UCDP_Name_long,169.0,CPP,,False,34,False,False,True,RAD;UCDP_ACTOR
b1586bdee40399120f0a5b8db99e9089658a5731,New Peoples Army (NPA),new peoples army (npa),RAD,Group_UCDP_Name_long,169.0,CPP,,False,22,False,False,True,RAD
cb2854ea5c312162d898ff4556cccd2f68d1a607,Military faction (forces of Honasan,military faction (forces of honasan,RAD,Group_UCDP_Name_short,170.0,"Military faction (forces of Honasan, Abenina & Zumel)",,False,35,False,False,True,RAD;UCDP_ACTOR
1587489c11feb49e2fcbf62279fc00cf27e360b6,Abenina & Zumel),abenina & zumel),RAD,Group_UCDP_Name_short,170.0,"Military faction (forces of Honasan, Abenina & Zumel)",,False,16,False,False,True,RAD;UCDP_ACTOR
8b4d27eb5625ee4085e18342526ae41c93f96cec,KNU,knu,RAD,Group_UCDP_Name_short,180.0,KNU,,True,3,True,False,True,RAD;UCDP_ACTOR
5c48177f246b4ac4f6cbce606b7f659de7a4841e,Karen National Union,karen national union,RAD,Group_UCDP_Name_long,180.0,KNU,,False,20,False,False,True,RAD;UCDP_ACTOR
f91d0d466064289cad8a55e73db5e7a02e86535c,Gods Army,gods army,RAD,Group_UCDP_Name_short,181.0,Gods Army,,False,9,False,False,True,RAD;UCDP_ACTOR
e3cc35195a5af01efc460df12669dbe109d6e9b9,ABSDF,absdf,RAD,Group_UCDP_Name_short,185.0,ABSDF,,True,5,False,False,True,RAD;UCDP_ACTOR
15555d1e85a56fdc6b453f68f10396cbeba252dc,All Burma Students Democratic Front,all burma students democratic front,RAD,Group_UCDP_Name_long,185.0,ABSDF,,False,35,False,False,True,RAD
5df9e4bb3893f6acc6c45fa061171f32c21140ac,RSO,rso,RAD,Group_UCDP_Name_short,187.0,RSO,,True,3,True,False,True,RAD;UCDP_ACTOR
ab2bebf9679d12e7cc9b347707f98229d716a257,Rohingya Solidarity Organization,rohingya solidarity organization,RAD,Group_UCDP_Name_long,187.0,RSO,,False,32,False,False,True,RAD
6fff3d0345a15e7d93bd8b8c163deefb7424b36b,NMSP,nmsp,RAD,Group_UCDP_Name_short,190.0,NMSP,,True,4,True,False,True,RAD;UCDP_ACTOR
5058faa92bcb6dadf9cec78a72dfeec1276d0799,New Mon State Party,new mon state party,RAD,Group_UCDP_Name_long,190.0,NMSP,,False,19,False,False,True,RAD;UCDP_ACTOR
31d441ef432f762b27257261ea4e78fd25fb85fd,BMA,bma,RAD,Group_UCDP_Name_short,191.0,BMA,,True,3,True,False,True,RAD;UCDP_ACTOR
00619df2e92edd5b08e65480f155aa13e055294d,Beik Mon Army,beik mon army,RAD,Group_UCDP_Name_long,191.0,BMA,,False,13,False,False,True,RAD;UCDP_ACTOR
b57be1ef82cf1ad8a9b8147e20b6c9b090567859,PWG,pwg,RAD,Group_UCDP_Name_short,193.0,PWG,,True,3,True,False,True,RAD;UCDP_ACTOR
a2bb9dcdf8c988f3eb29fa660f0a41f93a68d83b,Peoples War Group,peoples war group,RAD,Group_UCDP_Name_long,193.0,PWG,,False,17,False,False,True,RAD;UCDP_ACTOR
bf9527b00c2370059a525bce93a2034b50b1d55b,MCC,mcc,RAD,Group_UCDP_Name_short,194.0,MCC,,True,3,True,False,True,RAD;UCDP_ACTOR
2d37daf13d52f64439a6477cdabbd607a3d23cb5,Maoist Communist Centre,maoist communist centre,RAD,Group_UCDP_Name_long,194.0,MCC,,False,23,False,False,True,RAD;UCDP_ACTOR
3d6a321c9e823ae9b40d1032b9d480ecdd26be16,CPI-Maoist,cpi-maoist,RAD,Group_UCDP_Name_short,195.0,CPI-Maoist,,True,10,False,False,True,RAD;UCDP_ACTOR
f4ecc6ab721e35c00efd7b06b8b2e286f20fdedf,Communist Party of India – Maoist,communist party of india – maoist,RAD,Group_UCDP_Name_long,195.0,CPI-Maoist,,False,33,False,False,True,RAD
d49f8a1211338d22d37596954b692e719f480749,KIO,kio,RAD,Group_UCDP_Name_short,201.0,KIO,,True,3,True,False,True,RAD;UCDP_ACTOR
41e64e3c674d1f9c62210b95400e739266cf6856,Kachin Independence Organization,kachin independence organization,RAD,Group_UCDP_Name_long,201.0,KIO,,False,32,False,False,True,RAD;UCDP_ACTOR
27d131fc8a9d8bc0f2333a91176a9d560ebb0534,Kachin Independence Army (KIA),kachin independence army (kia),RAD,Group_UCDP_Name_long,201.0,KIO,,False,30,False,False,True,RAD
0a96a2e6c6f45cd3f6f6b579c93fbb925480ba3f,PFLP,pflp,RAD,Group_UCDP_Name_short,205.0,PFLP,,True,4,True,False,True,RAD;UCDP_ACTOR
2062e9bf3fb72e5613a2df7c0a0a7fa73e9f410b,Popular Front for the Liberation of Palestine,popular front for the liberation of palestine,RAD,Group_UCDP_Name_long,205.0,PFLP,,False,45,False,False,True,RAD;UCDP_ACTOR
ee5c62fecc9ed87dd081a05f36505438f8dfca36,PFLP-GC,pflp-gc,RAD,Group_UCDP_Name_short,206.0,PFLP-GC,,True,7,False,False,True,RAD;UCDP_ACTOR
5e0f2a342272dd21f7e04bead820aadf668eedb9,Popular Front for the Liberation of Palestine-General Command,popular front for the liberation of palestine-general command,RAD,Group_UCDP_Name_long,206.0,PFLP-GC,,False,61,False,False,True,RAD;UCDP_ACTOR
b0cee5b33375847e60cdf216ad30e4ad27975725,Fatah,fatah,RAD,Group_UCDP_Name_short,207.0,Fatah,,True,5,False,False,True,RAD;UCDP_ACTOR
bd7f459668636d54680f569fa4fcea8ead079d82,PIJ (Israel,pij (israel,RAD,Group_UCDP_Name_short,208.0,PIJ (Israel/Palestine)*,,False,11,False,False,True,RAD
bb9e0023907621dfc6225ab10904e209e90d9a53,Palestine)*,palestine)*,RAD,Group_UCDP_Name_short,208.0,PIJ (Israel/Palestine)*,,True,11,False,False,True,RAD
eb7ec91f352ab385d0b213deda2b82d53ab4cf6a,Hamas (Palestine)*,hamas (palestine)*,RAD,Group_UCDP_Name_short,209.0,Hamas (Palestine)*,,False,18,False,False,True,RAD
91a7ab913a47bef8228ad858deadf6bde62843f6,PNA,pna,RAD,Group_UCDP_Name_short,210.0,PNA,,True,3,True,False,True,RAD;UCDP_ACTOR
f845a86f3368c4f7c34c7339b8896a601760764b,Palestinian National Authority,palestinian national authority,RAD,Group_UCDP_Name_long,210.0,PNA,,False,30,False,False,True,RAD;UCDP_ACTOR
27ed654cc518664e91a2d0f4e2928cc1c1f84aa7,AMB,amb,RAD,Group_UCDP_Name_short,211.0,AMB,,True,3,True,False,True,RAD;UCDP_ACTOR
9b1f8f1a5c7c4172ab38708030ae26bf9860d1be,Kateab al-Shaheed al Aqsa,kateab al-shaheed al aqsa,RAD,Group_UCDP_Name_long,211.0,AMB,,False,25,False,False,True,RAD
2a891c63a0cc232e9e957b1f8827282a79f1157d,Al-Aqsa Martyrs Brigades,al-aqsa martyrs brigades,RAD,Group_UCDP_Name_long,211.0,AMB,,False,24,False,False,True,RAD;UCDP_ACTOR
45c8f44bf4558d9ffec53c8e7877a675c92efc3c,PRC (Israel,prc (israel,RAD,Group_UCDP_Name_short,212.0,PRC (Israel/Palestine)*,,False,11,False,False,True,RAD
f5668dad6898fb850aaf04a35e0b09687a381ac5,Palestine)*,palestine)*,RAD,Group_UCDP_Name_short,212.0,PRC (Israel/Palestine)*,,True,11,False,False,True,RAD
84ae5d07153778df66cb1d98999c4f63e1070dd9,NSCN-IM,nscn-im,RAD,Group_UCDP_Name_short,223.0,NSCN-IM,,True,7,False,False,True,RAD;UCDP_ACTOR
328a60b8bbe739d858b3b916fcbf1f56772d1f4b,National Socialist Council of Nagaland - Isaac-Muivah faction,national socialist council of nagaland - isaac-muivah faction,RAD,Group_UCDP_Name_long,223.0,NSCN-IM,,False,61,False,False,True,RAD
