variable,estimator,estimate,standard_error,uncertainty,p_value,ci_low,ci_high,n,r2,rmse,fdr_p_within_estimator,comparison_se,comparison_p,comparison_ci_low,comparison_ci_high,validation_se,comparison_fdr
direct_conflict_relevance,naive,0.9629453167453126,0.6273511532103189,actor-specific HAC,0.1247989828885204,-0.2666629435469123,2.1925535770375375,360,0.8759893521397676,0.9028978055856955,0.1871984743327806,0.6273511532103189,0.1247989828885204,-0.2666629435469123,2.1925535770375375,,0.18719847433278058
direct_conflict_relevance,two_step_calibrated,0.6497589999365158,0.4239103755741841,actor-specific HAC,0.1253314338261337,-0.181105336188885,1.4806233360619163,360,0.875972004827293,0.9029609546092776,0.1879971507392006,0.4273622271604328,0.12841196160727142,-0.18787096529793257,1.4873889651709642,0.0542076257004449,0.19261794241090713
direct_conflict_relevance,bca,0.7597200479668081,0.4239103755741841,actor-specific HAC; validation uncertainty added separately,0.0731055156949734,-0.0711442881585926,1.590584384092209,360,0.875972004827293,0.9029609546092776,0.1096582735424601,0.4307589779374342,0.0777862402622586,-0.08456754879056283,1.6040076447241791,0.0765068007059312,0.11667936039338789
direct_conflict_relevance,bcm,0.7821199700880779,0.4239103755741841,actor-specific HAC; validation uncertainty added separately,0.0650357105893422,-0.0487443660373229,1.6129843062134783,360,0.875972004827293,0.9029609546092776,0.0975535658840133,0.4323299141363288,0.07043837127507756,-0.06524666161912662,1.6294866017952825,0.0849067025486188,0.10565755691261633
direct_conflict_relevance,joint_integrated_mle,0.4023210950739678,0.2671039181169151,inverse observed information,0.1320070257196414,-0.1212025844351858,0.9258447745831216,360,,,0.1980105385794622,0.2671039181169151,0.1320070257196414,-0.1212025844351858,0.9258447745831216,,0.1980105385794621
physical_violence,naive,1.0296796042518763,0.4241907535790913,actor-specific HAC,0.0152075805054747,0.1982657272368573,1.8610934812668951,360,0.8779260733030974,0.8958196129717224,0.0456227415164242,0.4241907535790913,0.0152075805054747,0.1982657272368573,1.8610934812668951,,0.0456227415164241
physical_violence,two_step_calibrated,0.7304621791913082,0.3050053048236217,actor-specific HAC,0.0166241592494047,0.1326517817370096,1.3282725766456067,360,0.8778784692151799,0.8959942633665147,0.0498724777482142,0.3095304749507378,0.018279669061583508,0.12378244828786211,1.3371419100947541,0.0527340397910016,0.05483900718475052
physical_violence,bca,0.8284028730584083,0.3050053048236217,actor-specific HAC; validation uncertainty added separately,0.0066070379053465,0.2305924756041097,1.4262132705127069,360,0.8778784692151799,0.8959942633665147,0.0198211137160395,0.31272002351782685,0.0080724579315268,0.21547162696346767,1.4413341191533489,0.0690331597019851,0.024217373794580402
physical_violence,bcm,0.84356817532518,0.3050053048236217,actor-specific HAC; validation uncertainty added separately,0.0056792195616171,0.2457577778708815,1.4413785727794786,360,0.8778784692151799,0.8959942633665147,0.0170376586848515,0.3137287681093444,0.007169960302865383,0.228659789830865,1.458476560819495,0.0734677069797091,0.021509880908596152
physical_violence,joint_integrated_mle,0.7033491964923341,0.2282885664380596,inverse observed information,0.0020633055664993,0.2559036062737371,1.150794786710931,360,,,0.006189916699498,0.2282885664380596,0.0020633055664993,0.2559036062737371,1.150794786710931,,0.006189916699497899
fatalities_present,naive,0.1994809275113886,0.3847446712712203,actor-specific HAC,0.6041261114273193,-0.5546186281802032,0.9535804832029804,360,0.8748780197041784,0.906934481440384,0.6041261114273193,0.3847446712712203,0.6041261114273193,-0.5546186281802032,0.9535804832029804,,0.6041261114273193
fatalities_present,two_step_calibrated,0.2044427624610777,0.293054902821115,actor-specific HAC,0.4854110258731878,-0.3699448470683076,0.7788303719904631,360,0.8749341478283372,0.9067310390031744,0.4854110258731878,0.29357078307489287,0.48617821562550234,-0.3709559723657123,0.7798414972878678,0.0173962239498302,0.48617821562550234
fatalities_present,bca,0.2405306362597706,0.293054902821115,actor-specific HAC; validation uncertainty added separately,0.4117773603969151,-0.3338569732696148,0.814918245789156,360,0.8749341478283372,0.9067310390031744,0.4117773603969151,0.2938695307067965,0.41307480038356953,-0.3354536439255505,0.8165149164450918,0.0218660698421012,0.41307480038356953
fatalities_present,bcm,0.2482662870962726,0.293054902821115,actor-specific HAC; validation uncertainty added separately,0.3969023406526411,-0.3261213224331127,0.822653896625658,360,0.8749341478283372,0.9067310390031744,0.3969023406526411,0.29398109711072395,0.39839148725401136,-0.32793666324074633,0.8244692374332916,0.0233175768666415,0.39839148725401136
fatalities_present,joint_integrated_mle,0.165210511245188,0.2621142112309363,inverse observed information,0.5284985128976623,-0.3485333427674471,0.6789543652578232,360,,,0.5284985128976623,0.2621142112309363,0.5284985128976623,-0.3485333427674471,0.6789543652578232,,0.5284985128976623
direct_conflict_relevance,joint_hmc,0.7020926967927116,0.4224727722442714,posterior standard deviation,0.0945,-0.11041450942213336,1.53952880958363,360,,,,0.4224727722442714,0.0945,-0.11041450942213336,1.53952880958363,,0.14175
physical_violence,joint_hmc,0.8229780903350012,0.27608619945458523,posterior standard deviation,0.00225,0.2954204533643186,1.3676691524013198,360,,,,0.27608619945458523,0.00225,0.2954204533643186,1.3676691524013198,,0.006749999999999999
fatalities_present,joint_hmc,0.16807296867381114,0.32568111863587546,posterior standard deviation,0.5995,-0.4703151605968356,0.8004044216674833,360,,,,0.32568111863587546,0.5995,-0.4703151605968356,0.8004044216674833,,0.5995
