variable,estimator,estimate,standard_error,uncertainty,p_value,ci_low,ci_high,n,r2,rmse,fdr_p_within_estimator
direct_conflict_relevance,naive,0.9629453167453126,0.6273511532103189,actor-specific HAC,0.12479898288852041,-0.26666294354691233,2.1925535770375375,360,0.8759893521397676,0.9028978055856955,0.1871984743327806
direct_conflict_relevance,two_step_calibrated,0.6497589999365158,0.4239103755741841,actor-specific HAC,0.12533143382613376,-0.18110533618888502,1.4806233360619165,360,0.875972004827293,0.9029609546092776,0.18799715073920065
direct_conflict_relevance,bca,0.7597200479668081,0.4239103755741841,actor-specific HAC; validation uncertainty added separately,0.07310551569497342,-0.07114428815859264,1.590584384092209,360,0.875972004827293,0.9029609546092776,0.10965827354246013
direct_conflict_relevance,bcm,0.7821199700880779,0.4239103755741841,actor-specific HAC; validation uncertainty added separately,0.06503571058934221,-0.048744366037322906,1.6129843062134785,360,0.875972004827293,0.9029609546092776,0.09755356588401332
direct_conflict_relevance,joint_hmc,0.4073910097057691,0.26990654340373876,posterior standard deviation,0.12975,-0.12711658386876773,0.9298772969498285,360,,,0.194625
direct_conflict_relevance,joint_integrated_mle,0.40232109507396785,0.26710391811691514,inverse observed information,0.13200702571964149,-0.12120258443518583,0.9258447745831215,360,,,0.19801053857946221
physical_violence,naive,1.0296796042518763,0.42419075357909136,actor-specific HAC,0.015207580505474761,0.19826572723685731,1.8610934812668953,360,0.8779260733030974,0.8958196129717224,0.04562274151642429
physical_violence,two_step_calibrated,0.7304621791913082,0.3050053048236217,actor-specific HAC,0.016624159249404732,0.13265178173700964,1.3282725766456067,360,0.8778784692151799,0.8959942633665147,0.0498724777482142
physical_violence,bca,0.8284028730584083,0.3050053048236217,actor-specific HAC; validation uncertainty added separately,0.006607037905346501,0.23059247560410978,1.4262132705127069,360,0.8778784692151799,0.8959942633665147,0.019821113716039503
physical_violence,bcm,0.84356817532518,0.3050053048236217,actor-specific HAC; validation uncertainty added separately,0.005679219561617183,0.2457577778708815,1.4413785727794786,360,0.8778784692151799,0.8959942633665147,0.01703765868485155
physical_violence,joint_hmc,0.7045674594704899,0.2292295296531779,posterior standard deviation,0.00125,0.2583404083086672,1.153883774000989,360,,,0.00375
physical_violence,joint_integrated_mle,0.7033491964923341,0.22828856643805967,inverse observed information,0.0020633055664993467,0.25590360627373715,1.150794786710931,360,,,0.0061899166994980395
fatalities_present,naive,0.1994809275113886,0.3847446712712203,actor-specific HAC,0.6041261114273193,-0.5546186281802032,0.9535804832029804,360,0.8748780197041784,0.9069344814403839,0.6041261114273193
fatalities_present,two_step_calibrated,0.20444276246107776,0.293054902821115,actor-specific HAC,0.4854110258731878,-0.36994484706830766,0.7788303719904631,360,0.8749341478283372,0.9067310390031743,0.4854110258731878
fatalities_present,bca,0.2405306362597706,0.293054902821115,actor-specific HAC; validation uncertainty added separately,0.41177736039691515,-0.3338569732696148,0.814918245789156,360,0.8749341478283372,0.9067310390031743,0.4117773603969151
fatalities_present,bcm,0.24826628709627266,0.293054902821115,actor-specific HAC; validation uncertainty added separately,0.39690234065264113,-0.32612132243311276,0.822653896625658,360,0.8749341478283372,0.9067310390031743,0.39690234065264113
fatalities_present,joint_hmc,0.16583040143895833,0.2651589671935423,posterior standard deviation,0.5315,-0.3532711973250138,0.6854608588402624,360,,,0.5315
fatalities_present,joint_integrated_mle,0.165210511245188,0.2621142112309363,inverse observed information,0.5284985128976623,-0.3485333427674471,0.6789543652578232,360,,,0.5284985128976623
