label,variable,positive_value,n_articles_post_takeover,n_articles_pre_takeover,positive_articles_post_takeover,positive_articles_pre_takeover,positive_share_all_articles_post_takeover,positive_share_all_articles_pre_takeover,clear_articles_post_takeover,clear_articles_pre_takeover,positive_share_clear_cases_post_takeover,positive_share_clear_cases_pre_takeover,unresolved_share_post_takeover,unresolved_share_pre_takeover,positive_share_all_articles_change_pp,positive_share_clear_cases_change_pp,unresolved_share_change_pp
Actor as perpetrator,matched_actor_role,perpetrator,14214,9427,5932,5186,0.4173350218094836,0.5501219900286412,13174,8867,0.45028085623197206,0.5848652306304274,0.07316729984522302,0.059403840033945055,-13.278696821915753,-13.458437439845532,1.3763459811277967
Actor mentioned anywhere,any_matched_actor_mentioned,yes,14214,9427,13343,8909,0.9387223863796257,0.9450514479686009,14144,9377,0.9433682126696833,0.95009064732857,0.004924722104966934,0.005303914288745094,-0.6329061588975171,-0.6722434658886667,-0.03791921837781598
Combat context,event_context,cbt,14214,9427,4956,4959,0.3486703250316589,0.5260422191577384,13060,8898,0.37947932618683,0.557316250842886,0.08118756155902632,0.05611541317492309,-17.73718941260795,-17.783692465605604,2.5072148384103223
Current or recent event,event_time_relation,current_or_recent,14214,9427,9591,7545,0.6747572815533981,0.8003606661716347,13366,8961,0.7175669609456831,0.841981921660529,0.059659490643028,0.04943248117110428,-12.560338461823662,-12.441496071484593,1.0227009471923725
Direct conflict relevance,conflict_relevance,direct,14214,9427,9906,7930,0.6969185310257493,0.8412008061949718,14119,9340,0.7016077625894185,0.8490364025695931,0.006683551428169411,0.009228810862416463,-14.428227516922254,-14.742863998017464,-0.25452594342470525
Fatalities mentioned anywhere,any_fatalities_mentioned,yes,14214,9427,8128,6032,0.5718305895595891,0.6398642197942082,13790,9167,0.5894126178390138,0.6580124359114214,0.029829745321514,0.02758035430147449,-6.803363023461905,-6.859981807240767,0.22493910200395117
Injuries mentioned anywhere,any_injuries_mentioned,yes,14214,9427,4099,3649,0.28837765583227803,0.38707966479261696,11984,8208,0.3420393858477971,0.4445662768031189,0.1568875756296609,0.12930943035960538,-9.870200896033893,-10.25268909553218,2.757814527005553
Main-story fatalities,fatalities_present,yes,14214,9427,4999,4553,0.35169551146756717,0.48297443513312827,12913,8750,0.387129249593433,0.5203428571428571,0.09152947797945687,0.07181499946960856,-13.12789236655611,-13.321360754942413,1.971447850984831
Main-story injuries,injuries_present,yes,14214,9427,3047,2973,0.21436611791191781,0.31537074360878325,12083,8243,0.25217247372341306,0.3606696591046949,0.1499226115097791,0.12559669035748383,-10.100462569686544,-10.849718538128183,2.432592115229526
Physical violence occurred,physical_violence_occurred,yes,14214,9427,6172,5531,0.4342197833122274,0.5867189986209823,13038,8823,0.47338548857186685,0.6268842797234501,0.08273533136344449,0.06407128460804073,-15.249921530875493,-15.349879115158322,1.8664046755403758
Realized event,event_modality,realized,14214,9427,13021,8872,0.9160686646967778,0.9411265513949295,13051,8882,0.9977013255689219,0.9988741274487728,0.08182074011537921,0.05781266574732152,-2.5057886698151677,-0.11728018798509154,2.400807436805769
Violence mentioned anywhere,any_physical_violence_mentioned,yes,14214,9427,11077,8315,0.7793020965245533,0.8820409462183091,14034,9315,0.7892974205500927,0.8926462694578636,0.01266357112705783,0.01188076800678901,-10.27388496937558,-10.334884890777097,0.07828031202688196
Weapon mentioned anywhere,any_weapon_mentioned,yes,14214,9427,6614,4569,0.46531588574644717,0.48467168770552665,13251,8584,0.4991321409704928,0.5322693383038211,0.0677501055297594,0.08942399490824228,-1.9355801959079488,-3.3137197333328263,-2.1673889378482887
