variable,category,regime,share,n_articles
conflict_relevance,background_or_context,Pre-takeover,0.11106396520632227,9427
conflict_relevance,direct,Pre-takeover,0.8412008061949718,9427
conflict_relevance,irrelevant,Pre-takeover,0.038506417736289385,9427
conflict_relevance,not_applicable,Pre-takeover,0.0065768537180439166,9427
conflict_relevance,unclear,Pre-takeover,0.002651957144372547,9427
conflict_relevance,background_or_context,Post-takeover,0.2469396369776277,14214
conflict_relevance,direct,Post-takeover,0.6969185310257493,14214
conflict_relevance,irrelevant,Post-takeover,0.04945828056845364,14214
conflict_relevance,not_applicable,Post-takeover,0.004291543548614042,14214
conflict_relevance,unclear,Post-takeover,0.002392007879555368,14214
event_context,background_or_context,Pre-takeover,0.0004243131430996075,9427
event_context,cbt,Pre-takeover,0.5260422191577384,9427
event_context,civ,Pre-takeover,0.05388776917365015,9427
event_context,crm,Pre-takeover,0.0014850960008486263,9427
event_context,historical_background,Pre-takeover,0.0,9427
event_context,not_applicable,Pre-takeover,0.05399384745942506,9427
event_context,opr,Pre-takeover,0.003712740002121566,9427
event_context,org,Pre-takeover,0.002545878858597645,9427
event_context,pol,Pre-takeover,0.3548318659170468,9427
event_context,pro,Pre-takeover,0.0013790177150737244,9427
event_context,unclear,Pre-takeover,0.00169725257239843,9427
event_context,background_or_context,Post-takeover,0.0008442380751371887,14214
event_context,cbt,Post-takeover,0.3486703250316589,14214
event_context,civ,Post-takeover,0.09870550161812297,14214
event_context,crm,Post-takeover,0.003517658646404953,14214
event_context,historical_background,Post-takeover,7.035317292809905e-05,14214
event_context,not_applicable,Post-takeover,0.07837343464190236,14214
event_context,opr,Post-takeover,0.005065428450823132,14214
event_context,org,Post-takeover,0.012100745743633038,14214
event_context,pol,Post-takeover,0.44245110454481495,14214
event_context,pro,Post-takeover,0.008301674405515689,14214
event_context,unclear,Post-takeover,0.0018995356690586745,14214
event_modality,future_or_planned,Pre-takeover,0.0,9427
event_modality,historical_background,Pre-takeover,0.00010607828577490188,9427
event_modality,not_applicable,Pre-takeover,0.05409992574519996,9427
event_modality,realized,Pre-takeover,0.9411265513949295,9427
event_modality,threatened,Pre-takeover,0.0010607828577490189,9427
event_modality,unclear,Pre-takeover,0.003606661716346664,9427
event_modality,future_or_planned,Post-takeover,7.035317292809905e-05,14214
event_modality,historical_background,Post-takeover,0.0002814126917123962,14214
event_modality,not_applicable,Post-takeover,0.07872520050654284,14214
event_modality,realized,Post-takeover,0.9160686646967778,14214
event_modality,threatened,Post-takeover,0.0020402420149148726,14214
event_modality,unclear,Post-takeover,0.0028141269171239624,14214
matched_actor_role,both,Pre-takeover,0.13631059722074892,9427
matched_actor_role,mentioned_only,Pre-takeover,0.22796223613026415,9427
matched_actor_role,not_applicable,Pre-takeover,0.050811498886178,9427
matched_actor_role,perpetrator,Pre-takeover,0.5501219900286412,9427
matched_actor_role,target,Pre-takeover,0.026201336586400763,9427
matched_actor_role,unclear,Pre-takeover,0.008592341147767052,9427
matched_actor_role,both,Post-takeover,0.11298719572252709,14214
matched_actor_role,mentioned_only,Post-takeover,0.3573941184747432,14214
matched_actor_role,not_applicable,Post-takeover,0.061910792176727174,14214
matched_actor_role,perpetrator,Post-takeover,0.4173350218094836,14214
matched_actor_role,target,Post-takeover,0.039116364148023074,14214
matched_actor_role,unclear,Post-takeover,0.01125650766849585,14214
event_time_relation,current_or_recent,Pre-takeover,0.8003606661716347,9427
event_time_relation,future_or_planned,Pre-takeover,0.039248965736713694,9427
event_time_relation,historical_background,Pre-takeover,0.11095788692054737,9427
event_time_relation,not_applicable,Pre-takeover,0.0,9427
event_time_relation,unclear,Pre-takeover,0.04943248117110428,9427
event_time_relation,current_or_recent,Post-takeover,0.6747572815533981,14214
event_time_relation,future_or_planned,Post-takeover,0.010834388630927255,14214
event_time_relation,historical_background,Post-takeover,0.2547488391726467,14214
event_time_relation,not_applicable,Post-takeover,7.035317292809905e-05,14214
event_time_relation,unclear,Post-takeover,0.059589137470099904,14214
