variable,label,estimate,standard_error,p_value,ci_low,ci_high,partial_r2,n,fdr_p
event_modality_realized,Realized main-story event,-0.21415177110361994,1.5904470032666307,0.8928895607352696,-3.3314278975062157,2.903124355298976,7.658048430972171e-05,360,0.8928895607352697
actor_role_perpetrator,Matched actor portrayed as perpetrator,1.0625024336913325,0.5649596991956054,0.060016901046873,-0.04481857673205414,2.1698234441147193,0.016181600195180185,360,0.30008450523436503
current_or_recent,Current or recent main story,0.7481326924674724,0.4721555474653528,0.11307890890740929,-0.17729218056461915,1.6735575654995638,0.008414728550756964,360,0.30491454496348375
main_story_injuries,Main-story injuries,0.8380704496688363,0.607731591803192,0.16789039871384262,-0.3530834702654202,2.0292243696030927,0.010672893232516597,360,0.30491454496348375
violence_anywhere,Physical violence mentioned anywhere,1.0135465002539368,0.8804396796993421,0.24965728052757846,-0.7121152719567738,2.7392082724646474,0.005719319336397329,360,0.3120716006594731
fatalities_anywhere,Fatalities mentioned anywhere,-0.3384877874392418,0.42241974438935637,0.42295409106296045,-1.1664304864423802,0.48945491156389664,0.002600671787098613,360,0.46994899006995605
injuries_anywhere,Injuries mentioned anywhere,0.7723725079285846,0.5799765374939088,0.18294872697809023,-0.36438150555947657,1.9091265214166457,0.01014192594216307,360,0.30491454496348375
weapons_anywhere,Weapon mentioned anywhere,0.7417362718284967,0.5075952806042864,0.1439399995964815,-0.25315047815590463,1.736623021812898,0.009228494457823316,360,0.30491454496348375
main_story_weapon_use,Main-story weapon use,0.9194872001574284,0.47749060798394555,0.054146151780703325,-0.016394391491104887,1.8553687918059616,0.018038939820286527,360,0.30008450523436503
multiple_events,Multiple events mentioned,1.2404555834141044,1.0624557370759344,0.24299387933991032,-0.8419576612547268,3.3228688280829357,0.004042367538860358,360,0.3120716006594731
