group,specification,history,minimum_articles,hac_lags,variable,n,n_hamas,n_taliban,n_farc,estimator,estimate,standard_error,p_value,ci_low,ci_high,uncertainty,joint_mle_success,fdr_p
Article threshold,Minimum 10 articles,three two-week fatality terms,10,6,direct_conflict_relevance,423,153,152,118,naive,0.8562800746874762,0.4750146214047149,0.07144486419878711,-0.07474858326576495,1.7873087326407173,conditional actor-specific HAC,,0.10716729629818067
Article threshold,Minimum 10 articles,three two-week fatality terms,10,6,direct_conflict_relevance,423,153,152,118,direct,0.5786984675351643,0.3300647788106809,0.07955266138859322,-0.06822849893377025,1.2256254340040988,conditional actor-specific HAC,,0.11932899208288983
Article threshold,Minimum 10 articles,three two-week fatality terms,10,6,direct_conflict_relevance,423,153,152,118,bca,0.7075388668197022,0.3300647788106809,0.032062033623234905,0.06061190035076769,1.3544658332886368,conditional actor-specific HAC,,0.04809305043485236
Article threshold,Minimum 10 articles,three two-week fatality terms,10,6,direct_conflict_relevance,423,153,152,118,bcm,0.7444390574783946,0.3300647788106809,0.024106151330422983,0.09751209100946001,1.3913660239473291,conditional actor-specific HAC,,0.03615922699563447
Article threshold,Minimum 10 articles,three two-week fatality terms,10,6,direct_conflict_relevance,423,153,152,118,joint_mle,0.6637821551604601,0.39517460297762136,0.09301206716611916,-0.11076006667567773,1.438324376996598,inverse integrated-likelihood information,True,0.13951810074917875
Article threshold,Minimum 10 articles,three two-week fatality terms,10,6,physical_violence,423,153,152,118,naive,0.9486904014080177,0.3412400470110831,0.005433777401221528,0.2798599092662948,1.6175208935497407,conditional actor-specific HAC,,0.016301332203664583
Article threshold,Minimum 10 articles,three two-week fatality terms,10,6,physical_violence,423,153,152,118,direct,0.675122273303875,0.24663499753111823,0.006193944070625037,0.19171767814288326,1.1585268684648666,conditional actor-specific HAC,,0.01858183221187511
Article threshold,Minimum 10 articles,three two-week fatality terms,10,6,physical_violence,423,153,152,118,bca,0.8006882613089998,0.24663499753111823,0.0011685384973889879,0.3172836661480081,1.2840928564699916,conditional actor-specific HAC,,0.0035056154921669636
Article threshold,Minimum 10 articles,three two-week fatality terms,10,6,physical_violence,423,153,152,118,bcm,0.8293783477759975,0.24663499753111823,0.0007716283796382509,0.3459737526150058,1.3127829429369893,conditional actor-specific HAC,,0.0023148851389147526
Article threshold,Minimum 10 articles,three two-week fatality terms,10,6,physical_violence,423,153,152,118,joint_mle,0.7936813923991658,0.2544312568774367,0.0018119914224250407,0.2949961289193899,1.2923666558789417,inverse integrated-likelihood information,True,0.005435974267275122
Article threshold,Minimum 10 articles,three two-week fatality terms,10,6,fatalities_present,423,153,152,118,naive,-0.08424317742990575,0.33395184682667534,0.8008389824369877,-0.7387887972101894,0.570302442350378,conditional actor-specific HAC,,0.8008389824369878
Article threshold,Minimum 10 articles,three two-week fatality terms,10,6,fatalities_present,423,153,152,118,direct,-0.056243365099706066,0.26320047357052456,0.8307886444313941,-0.5721162932979342,0.4596295630985221,conditional actor-specific HAC,,0.8307886444313941
Article threshold,Minimum 10 articles,three two-week fatality terms,10,6,fatalities_present,423,153,152,118,bca,-0.06955497445697707,0.26320047357052456,0.7915748457574275,-0.5854279026552053,0.4463179537412511,conditional actor-specific HAC,,0.7915748457574275
Article threshold,Minimum 10 articles,three two-week fatality terms,10,6,fatalities_present,423,153,152,118,bcm,-0.07368243070972558,0.26320047357052456,0.7795174453145071,-0.5895553589079537,0.4421904974885026,conditional actor-specific HAC,,0.779517445314507
Article threshold,Minimum 10 articles,three two-week fatality terms,10,6,fatalities_present,423,153,152,118,joint_mle,-0.058614221754086177,0.29132318807721047,0.8405422013885973,-0.6296076703854186,0.5123792268772464,inverse integrated-likelihood information,True,0.8405422013885971
Article threshold,Minimum 20 articles (baseline),three two-week fatality terms,20,6,direct_conflict_relevance,360,144,152,64,naive,0.9629453167453126,0.6273511532103189,0.12479898288852041,-0.26666294354691233,2.1925535770375375,conditional actor-specific HAC,,0.1871984743327806
Article threshold,Minimum 20 articles (baseline),three two-week fatality terms,20,6,direct_conflict_relevance,360,144,152,64,direct,0.6497589999364213,0.42391037557420386,0.1253314338262063,-0.18110533618901825,1.4806233360618608,conditional actor-specific HAC,,0.18799715073930945
Article threshold,Minimum 20 articles (baseline),three two-week fatality terms,20,6,direct_conflict_relevance,360,144,152,64,bca,0.7597200479667013,0.42391037557420386,0.07310551569502717,-0.07114428815873819,1.590584384092141,conditional actor-specific HAC,,0.10965827354254076
