actor_key,actor_name,period_start,period_index,n_articles
209,Hamas,2020-02-10,9,93.0
209,Hamas,2020-02-24,10,43.0
209,Hamas,2020-03-23,12,32.0
209,Hamas,2020-05-04,15,24.0
209,Hamas,2020-06-15,18,72.0
209,Hamas,2020-06-29,19,78.0
209,Hamas,2020-07-27,21,61.0
209,Hamas,2020-08-10,22,263.0
209,Hamas,2020-08-24,23,119.0
209,Hamas,2020-09-07,24,85.0
209,Hamas,2020-10-19,27,30.0
209,Hamas,2020-11-02,28,26.0
209,Hamas,2020-11-16,29,59.0
209,Hamas,2020-12-14,31,57.0
209,Hamas,2020-12-28,32,40.0
209,Hamas,2021-01-11,33,66.0
209,Hamas,2021-01-25,34,33.0
209,Hamas,2021-02-08,35,34.0
209,Hamas,2021-02-22,36,27.0
209,Hamas,2021-03-08,37,37.0
209,Hamas,2021-03-22,38,36.0
209,Hamas,2021-04-05,39,61.0
209,Hamas,2021-04-19,40,122.0
209,Hamas,2021-05-03,41,1533.0
209,Hamas,2021-05-17,42,1424.0
209,Hamas,2021-05-31,43,275.0
209,Hamas,2021-06-14,44,292.0
209,Hamas,2021-06-28,45,132.0
209,Hamas,2021-07-12,46,77.0
209,Hamas,2021-07-26,47,68.0
209,Hamas,2021-08-23,49,40.0
209,Hamas,2021-09-06,50,135.0
209,Hamas,2021-09-20,51,170.0
209,Hamas,2021-10-04,52,53.0
209,Hamas,2021-10-18,53,57.0
209,Hamas,2021-11-01,54,54.0
209,Hamas,2021-11-15,55,125.0
209,Hamas,2021-11-29,56,95.0
209,Hamas,2021-12-13,57,92.0
209,Hamas,2021-12-27,58,135.0
209,Hamas,2022-01-10,59,57.0
209,Hamas,2022-01-24,60,38.0
209,Hamas,2022-02-07,61,66.0
209,Hamas,2022-02-21,62,26.0
209,Hamas,2022-03-07,63,24.0
209,Hamas,2022-03-21,64,44.0
209,Hamas,2022-04-04,65,68.0
209,Hamas,2022-04-18,66,125.0
209,Hamas,2022-05-02,67,95.0
209,Hamas,2022-05-16,68,63.0
209,Hamas,2022-05-30,69,40.0
209,Hamas,2022-06-13,70,76.0
209,Hamas,2022-06-27,71,34.0
209,Hamas,2022-07-11,72,69.0
209,Hamas,2022-07-25,73,96.0
209,Hamas,2022-08-08,74,79.0
209,Hamas,2022-08-22,75,28.0
209,Hamas,2022-09-05,76,22.0
