share_specification,signal,horizon,weeks_relative_to_predictor,n,estimate,hac_se,p_value,ci_low,ci_high,validation_se,comparison_se,comparison_p_value,comparison_ci_low,comparison_ci_high
Raw LLM share,share_physical_violence_raw,-2,-4,352,0.10113855225144314,0.505073743048111,0.8412888811051709,-0.8888059841228544,1.0910830886257408,0.0,0.505073743048111,0.8412888811051709,-0.8888059841228544,1.0910830886257408
Raw LLM share,share_physical_violence_raw,-1,-2,352,0.3443906836634271,0.5025506392060292,0.49316375778714155,-0.64060856918039,1.3293899365072444,0.0,0.5025506392060292,0.49316375778714155,-0.64060856918039,1.3293899365072444
Raw LLM share,share_physical_violence_raw,0,0,352,1.5033255986270706,0.4485901153802829,0.0008045542887823219,0.6240889724817162,2.3825622247724247,0.0,0.4485901153802829,0.0008045542887823219,0.6240889724817162,2.3825622247724247
Raw LLM share,share_physical_violence_raw,1,2,352,1.7783002209017948,0.4701748060602925,0.0001554416488985976,0.8567576010236215,2.699842840779968,0.0,0.4701748060602925,0.0001554416488985976,0.8567576010236215,2.699842840779968
Raw LLM share,share_physical_violence_raw,2,4,352,1.3293364493422266,0.5651289447305209,0.018659173215344188,0.22168371767040562,2.436989181014048,0.0,0.5651289447305209,0.018659173215344188,0.22168371767040562,2.436989181014048
Directly calibrated share,share_physical_violence_calibrated,-2,-4,352,0.01690231970113798,0.361732929304139,0.9627316369517871,-0.6920942217349744,0.7258988611372503,0.030531638918645913,0.36301913602179675,0.9628635862727648,-0.6946151869015836,0.7284198263038596
Directly calibrated share,share_physical_violence_calibrated,-1,-2,352,0.21772073581881707,0.3628193149172415,0.5484526979998381,-0.49340512141897624,0.9288465930566103,0.03480764964125009,0.3644851543623752,0.5502819169553164,-0.4966701667314383,0.9321116383690724
Directly calibrated share,share_physical_violence_calibrated,0,0,352,1.0641163725437313,0.3172782319002176,0.000796839576454135,0.44225103801930477,1.6859817070681578,0.08486961835763875,0.3284331416862487,0.0011953864263500621,0.4203874148386838,1.7078453302487788
Directly calibrated share,share_physical_violence_calibrated,1,2,352,1.2596366018842962,0.3384330972944272,0.00019767736652528405,0.5963077311872188,1.9229654725813736,0.0929596412242069,0.35096788491375175,0.0003319021829359309,0.5717395474533428,1.9475336563152497
Directly calibrated share,share_physical_violence_calibrated,2,4,352,0.9269670785740105,0.4073466154170232,0.022868620060742778,0.128567712356645,1.725366444791376,0.07354397102498794,0.4139323383909845,0.025128802053874986,0.11565969532768094,1.73827446182034
